case_id,category,score,recommendation,candidate_recommendation,candidate_blocking_risks,score_in_range,recommendation_consistent,completeness,confidence,not_provided,unknown,duration_ms
H01,HIGH_MATCH,98.0,STRONGLY_RECOMMENDED,STRONGLY_RECOMMENDED,,True,True,0.8,0.8,2,0,17.86
H02,HIGH_MATCH,98.0,STRONGLY_RECOMMENDED,STRONGLY_RECOMMENDED,,True,True,0.8,0.8,2,0,1.3936
H03,HIGH_MATCH,98.8,STRONGLY_RECOMMENDED,STRONGLY_RECOMMENDED,,True,True,0.8,0.8,2,0,1.4602
H04,HIGH_MATCH,98.0,STRONGLY_RECOMMENDED,STRONGLY_RECOMMENDED,,True,True,0.8,0.8,2,0,1.3675
H05,HIGH_MATCH,98.0,STRONGLY_RECOMMENDED,RECOMMENDED,,True,True,0.7,0.7,3,0,1.6225
H06,HIGH_MATCH,98.67,STRONGLY_RECOMMENDED,RECOMMENDED,,True,True,0.7,0.7,3,0,1.7653
H07,HIGH_MATCH,99.0,STRONGLY_RECOMMENDED,RECOMMENDED,,True,True,0.7,0.7,3,0,1.4203
H08,HIGH_MATCH,98.0,STRONGLY_RECOMMENDED,STRONGLY_RECOMMENDED,,True,True,0.8,0.8,2,0,1.3802
M01,MEDIUM_MATCH,84.75,HIGH_RISK,HIGH_RISK,,True,True,0.7,0.7,3,0,1.4924
M02,MEDIUM_MATCH,60.34,HIGH_RISK,HIGH_RISK,,True,True,0.7,0.7,3,0,1.5546
M03,MEDIUM_MATCH,85.8,STRONGLY_RECOMMENDED,STRONGLY_RECOMMENDED,,True,False,0.8,0.8,2,0,1.6902
M04,MEDIUM_MATCH,93.0,HIGH_RISK,HIGH_RISK,,True,True,0.7,0.7,3,0,2.9581
M05,MEDIUM_MATCH,92.0,STRONGLY_RECOMMENDED,RECOMMENDED,,True,True,0.7,0.7,3,0,2.3274
M06,MEDIUM_MATCH,93.0,HIGH_RISK,HIGH_RISK,,True,True,0.7,0.7,3,0,1.4891
M07,MEDIUM_MATCH,95.0,STRONGLY_RECOMMENDED,STRONGLY_RECOMMENDED,,True,True,0.8,0.775,2,1,1.7086
M08,MEDIUM_MATCH,87.84,STRONGLY_RECOMMENDED,RECOMMENDED,,True,False,0.7,0.7,3,0,1.3716
G01,SKILL_GAP,43.0,HIGH_RISK,HIGH_RISK,,True,True,0.7,0.7,3,0,1.4446
G02,SKILL_GAP,34.75,HIGH_RISK,HIGH_RISK,,True,True,0.7,0.7,3,0,1.3447
G03,SKILL_GAP,59.25,HIGH_RISK,HIGH_RISK,,True,True,0.7,0.65,3,2,2.8463
G04,SKILL_GAP,34.75,HIGH_RISK,HIGH_RISK,,True,True,0.7,0.7,3,0,1.7208
G05,SKILL_GAP,34.75,HIGH_RISK,HIGH_RISK,,True,True,0.7,0.7,3,0,1.2731
G06,SKILL_GAP,34.75,HIGH_RISK,HIGH_RISK,,True,True,0.7,0.7,3,0,1.3749
B01,BLOCKING,94.67,NOT_RECOMMENDED,NOT_RECOMMENDED,WORK_ELIGIBILITY_BLOCKED,True,True,0.8,0.8,2,0,1.9427
B02,BLOCKING,88.0,HIGH_RISK,NOT_RECOMMENDED,CERTIFICATE_REQUIREMENT_NOT_MET,True,False,0.8,0.8,2,0,1.3079
B03,BLOCKING,93.0,HIGH_RISK,NOT_RECOMMENDED,LANGUAGE_REQUIREMENT_NOT_MET,True,False,0.7,0.7,3,0,1.4826
B04,BLOCKING,92.0,HIGH_RISK,NOT_RECOMMENDED,MINIMUM_EXPERIENCE_NOT_MET,True,False,0.7,0.7,3,0,1.8278
B05,BLOCKING,92.75,HIGH_RISK,NOT_RECOMMENDED,EDUCATION_REQUIREMENT_NOT_MET,True,False,0.7,0.7,3,0,2.2165
I01,INCOMPLETE_JOB,94.0,STRONGLY_RECOMMENDED,CONSIDER,,True,False,0.0,0.0,10,0,1.1521
