scoring_version,metric,value
deterministic-v1,case_count,52
deterministic-v1,recommendation_accuracy,0.5577
deterministic-v1,score_interval_hit_rate,1.0
deterministic-v1,score_mean_absolute_error,0.0
deterministic-v1,blocking_recall,0.1176
deterministic-v1,blocking_precision,1.0
deterministic-v1,high_risk_recall,1.0
deterministic-v1,skill_accuracy,"{""MATCHED"": 1.0, ""PARTIAL"": 1.0, ""MISSING"": 1.0, ""UNKNOWN"": 1.0}"
deterministic-v1,skill_macro_f1,1.0
deterministic-v1,confusion_matrix,"{""MATCHED"": {""MATCHED"": 88, ""PARTIAL"": 0, ""MISSING"": 0, ""UNKNOWN"": 0}, ""PARTIAL"": {""MATCHED"": 0, ""PARTIAL"": 3, ""MISSING"": 0, ""UNKNOWN"": 0}, ""MISSING"": {""MATCHED"": 0, ""PARTIAL"": 0, ""MISSING"": 21, ""UNKNOWN"": 0}, ""UNKNOWN"": {""MATCHED"": 0, ""PARTIAL"": 0, ""MISSING"": 0, ""UNKNOWN"": 2}}"
deterministic-v1,evidence_trace_coverage,1.0
deterministic-v1,required_skill_evidence_coverage,1.0
deterministic-v1,blocking_evidence_coverage,1.0
deterministic-v1,no_evidence_conclusion_count,0
deterministic-v1,repeat_consistency_rate,1.0
deterministic-v1,exact_ranking_accuracy,1.0
deterministic-v1,pairwise_ranking_accuracy,1.0
deterministic-v1,spearman_correlation,1.0
deterministic-v1,unknown_ratio,0.0175
deterministic-v1,not_provided_ratio,0.4588
deterministic-v1,mean_duration_ms,2.0116
deterministic-v1,p50_duration_ms,1.4908
deterministic-v1,p95_duration_ms,2.7018
deterministic-v1.1,case_count,52
deterministic-v1.1,recommendation_accuracy,0.9808
deterministic-v1.1,score_interval_hit_rate,1.0
deterministic-v1.1,score_mean_absolute_error,0.0
deterministic-v1.1,blocking_recall,1.0
deterministic-v1.1,blocking_precision,1.0
deterministic-v1.1,high_risk_recall,1.0
deterministic-v1.1,skill_accuracy,"{""MATCHED"": 1.0, ""PARTIAL"": 1.0, ""MISSING"": 1.0, ""UNKNOWN"": 1.0}"
deterministic-v1.1,skill_macro_f1,1.0
deterministic-v1.1,confusion_matrix,"{""MATCHED"": {""MATCHED"": 88, ""PARTIAL"": 0, ""MISSING"": 0, ""UNKNOWN"": 0}, ""PARTIAL"": {""MATCHED"": 0, ""PARTIAL"": 3, ""MISSING"": 0, ""UNKNOWN"": 0}, ""MISSING"": {""MATCHED"": 0, ""PARTIAL"": 0, ""MISSING"": 21, ""UNKNOWN"": 0}, ""UNKNOWN"": {""MATCHED"": 0, ""PARTIAL"": 0, ""MISSING"": 0, ""UNKNOWN"": 2}}"
deterministic-v1.1,evidence_trace_coverage,1.0
deterministic-v1.1,required_skill_evidence_coverage,1.0
deterministic-v1.1,blocking_evidence_coverage,1.0
deterministic-v1.1,no_evidence_conclusion_count,0
deterministic-v1.1,repeat_consistency_rate,1.0
deterministic-v1.1,exact_ranking_accuracy,1.0
deterministic-v1.1,pairwise_ranking_accuracy,1.0
deterministic-v1.1,spearman_correlation,1.0
deterministic-v1.1,unknown_ratio,0.0175
deterministic-v1.1,not_provided_ratio,0.4588
deterministic-v1.1,mean_duration_ms,1.7778
deterministic-v1.1,p50_duration_ms,1.5992
deterministic-v1.1,p95_duration_ms,2.7732
